4195:0.0557281,4631:0.0121214,3004:0.0117578,2718:0.0117123,2031:0.0116365,5185:0.011485,39:0.0108032,5551:0.0108032,4634:0.0105911,6658:0.0101214,6663:0.00824255,3419:0.00806073,6660:0.00706071,1333:0.00674253,840:0.00674253,2639:0.00662131,2029:0.00659101,6066:0.0061213,4760:0.00603039,6688:0.00596979,2226:0.00592433,5486:0.00574251,4941:0.00572736,986:0.0056213,6283:0.0056213,6659:0.00548493,989:0.00546978,1466:0.00545463,1515:0.00545463,5959:0.00540917,4115:0.00540917,988:0.00539402,3471:0.00537887,5048:0.00537887,5839:0.00537887,5913:0.00536372,3857:0.00534857,3457:0.00530311,2964:0.00528796,1849:0.00528796,1654:0.00528796,5527:0.00522735,5544:0.0052122,1999:0.0052122,3915:0.0051819,991:0.0051819,5954:0.00516674,4450:0.00515159,3664:0.00515159,4545:0.00515159,3670:0.00509099,3902:0.00509099,4339:0.00507583,2581:0.00507583,3888:0.00507583,1665:0.00506068,6561:0.00506068,87:0.00504553,2317:0.00504553,390:0.00504553,6713:0.00503038,5186:0.00503038,4148:0.00503038,4944:0.00503038,2092:0.00501523,4284:0.00501523,736:0.00501523,4003:0.00501523,847:0.00501523,865:0.00501523,6583:0.00501523,5889:0.00501523,1950:0.00500008,734:0.00498492,737:0.00496977,868:0.00496977,4685:0.00495462,224:0.00492432,115:0.00489401,1663:0.00481825,2214:0.00472734,2755:0.00466674,6422:0.00459098,6453:0.00431825,4416:0.00415158,1957:0.00413643,4803:0.00410612,6542:0.00400006,3533:0.00398491,4913:0.00396976,651:0.00393945,1029:0.003894,3820:0.003894,3011:0.00381824,1316:0.00330308,4193:0.00316671,1078:0.00283338,1063:0.00278792,5943:0.00274247,4588:0.00271216
88:0.0174639,840:0.0153841,6688:0.00699878,3281:0.00627249,4734:0.00534812,4263:0.00518306,5298:0.00485293,3298:0.00485293,4493:0.00465485,6223:0.00455581,2632:0.00415965,5524:0.00409363,3004:0.00409363,3218:0.00399459,3793:0.00396157,5890:0.00366445,4682:0.00363144,4624:0.00330131,22:0.00330131,1680:0.00316926,1604:0.00307022,2180:0.00307022,6766:0.00303721,6224:0.00300419,4491:0.00293817,135:0.00274009,625:0.002509,6879:0.00247598,2664:0.00247598,89:0.00244297,4684:0.00240996,4773:0.00240996,56:0.00240996,5533:0.00237694,4807:0.00231092,3557:0.0022779,1323:0.00221188,5166:0.00221188,1105:0.00207983,4873:0.00204681,5481:0.0020138,6222:0.00194777,4623:0.00191476,6225:0.00188175,60:0.00184873,6295:0.00181572,1295:0.00181572,1085:0.00181572,2528:0.00178271,846:0.00174969,118:0.00171668,3928:0.00171668,6704:0.00171668,234:0.00171668,4094:0.00168367,6077:0.00165066,2274:0.00161764,5560:0.00158463,3476:0.00155162,5016:0.00155162,1419:0.00155162,4911:0.0015186,1030:0.00148559,5586:0.00148559,5522:0.00141956,4004:0.00141956,1629:0.00138655,3447:0.00138655,4261:0.00138655,1119:0.00138655,620:0.00138655,5456:0.00138655,2408:0.00135354,6420:0.00135354,4091:0.00135354,4092:0.00135354,4257:0.00135354,350:0.00132052,4569:0.00132052,443:0.00132052,3901:0.00128751,5172:0.00128751,3559:0.0012545,869:0.0012545,3122:0.0012545,2096:0.0012545,462:0.0012545,396:0.00122148,440:0.00118847,5383:0.00118847,75:0.00118847,6332:0.00118847,3916:0.00115546,3395:0.00115546,6880:0.00115546,2952:0.00115546,5233:0.00115546,5790:0.00115546,4809:0.00115546,1324:0.00115546
840:0.0158457,88:0.0112087,6688:0.00951972,6766:0.00908979,3281:0.00783073,5166:0.00749294,3004:0.00694018,1198:0.00694018,4734:0.0062953,2715:0.00589608,3928:0.00586537,6295:0.00479057,3218:0.00472915,4493:0.00463702,4737:0.00442206,1864:0.00436064,4092:0.00423781,443:0.00414568,3169:0.00356222,5533:0.00337796,1068:0.00331655,236:0.00328584,6520:0.00294804,4263:0.00294804,5282:0.00291733,239:0.00282521,5574:0.00270237,5573:0.00267166,2521:0.00261024,6880:0.00251812,5285:0.00251812,2653:0.00251812,3518:0.00248741,3476:0.00242599,2639:0.00236457,4261:0.00224174,5383:0.00224174,4203:0.00221103,1629:0.00202678,3294:0.00199607,4091:0.00199607,6223:0.00196536,6704:0.00196536,6231:0.00193465,6879:0.00187323,61:0.00187323,6883:0.00187323,5172:0.00187323,6222:0.00184253,846:0.00184253,237:0.00181182,6332:0.00178111,6620:0.0017504,625:0.0017504,5008:0.00168898,5052:0.00168898,1096:0.00162756,3882:0.00159686,3872:0.00156615,6886:0.00156615,462:0.00153544,6298:0.00153544,6420:0.00150473,3876:0.00150473,4907:0.00150473,1427:0.00147402,6225:0.00147402,149:0.00147402,3349:0.00144331,396:0.00144331,3901:0.00144331,1561:0.0014126,5570:0.0014126,4142:0.0014126,5035:0.0014126,3535:0.0014126,2918:0.00138189,5893:0.00132048,4316:0.00132048,3756:0.00132048,4736:0.00128977,4584:0.00128977,5790:0.00125906,1431:0.00125906,2408:0.00122835,4784:0.00122835,644:0.00122835,2355:0.00122835,2879:0.00119764,645:0.00119764,6224:0.00119764,3559:0.00119764,116:0.00116693,1860:0.00116693,1773:0.00116693,2767:0.00116693,23:0.00116693,4850:0.00116693,3857:0.00116693,174:0.00113622
840:0.010954,878:0.00649881,88:0.00629445,6766:0.00625358,4091:0.00523175,236:0.00441429,4626:0.00416905,3836:0.00404643,3349:0.0036377,2653:0.00359683,3935:0.00351508,6688:0.00343334,2639:0.00335159,4493:0.00326984,621:0.00326984,3857:0.00314722,5050:0.00294286,6880:0.00290199,5184:0.00282024,102:0.00273849,3997:0.00273849,3752:0.00269762,1373:0.00265675,5822:0.00261588,6203:0.002575,639:0.002575,6295:0.00253413,3004:0.00237064,4092:0.00232976,239:0.00224802,892:0.00220714,846:0.00220714,4873:0.00216627,1519:0.0021254,4267:0.0021254,4184:0.00208453,174:0.00208453,6251:0.00204365,2500:0.00204365,1631:0.00204365,3938:0.00200278,1663:0.00196191,5895:0.00192103,1520:0.00192103,6156:0.00192103,3590:0.00183929,3756:0.00183929,4142:0.00183929,3675:0.00183929,2268:0.00179841,806:0.00175754,476:0.00175754,4246:0.00167579,5232:0.00167579,4925:0.00159405,1999:0.00155318,3419:0.00155318,4907:0.00155318,4630:0.00155318,5550:0.0015123,6003:0.0015123,1415:0.0015123,5142:0.00143056,3912:0.00143056,5024:0.00138968,6520:0.00134881,499:0.00134881,2879:0.00130794,5014:0.00130794,4623:0.00130794,1347:0.00130794,2906:0.00126706,5893:0.00126706,5385:0.00126706,1566:0.00122619,2837:0.00122619,3659:0.00122619,6893:0.00118532,6386:0.00118532,6775:0.00118532,893:0.00118532,386:0.00114445,2793:0.00114445,2027:0.00114445,2677:0.00114445,2794:0.00110357,6605:0.00110357,4736:0.0010627,29:0.0010627,2308:0.0010627,4204:0.0010627,1594:0.0010627,6510:0.0010627,440:0.00102183,4624:0.00102183,970:0.00102183,2217:0.00102183,4270:0.000980953,4734:0.000980953,3694:0.000980953
5551:0.0151658,1663:0.012905,4631:0.0115392,1665:0.0101262,2029:0.00697061,4634:0.00692351,840:0.00607573,2639:0.00560475,4204:0.00551055,5185:0.00551055,3419:0.00541635,2030:0.00532216,2402:0.00503956,4626:0.00499246,3004:0.00499246,4940:0.00485117,115:0.00475697,3857:0.00470987,4760:0.00433308,4941:0.00400339,4493:0.0035324,3533:0.00348531,4246:0.00348531,4195:0.00329691,3922:0.00324981,1134:0.00301432,6658:0.00296722,2718:0.00268463,6453:0.00268463,1999:0.00263753,6318:0.00221364,1654:0.00216654,6902:0.00216654,1979:0.00216654,3497:0.00211944,3349:0.00193105,6784:0.00183685,2755:0.00183685,3069:0.00169555,986:0.00164846,5385:0.00155426,1438:0.00150716,2710:0.00146006,5243:0.00146006,102:0.00146006,6324:0.00146006,5422:0.00141296,6756:0.00141296,1579:0.00141296,878:0.00136586,512:0.00136586,4142:0.00131876,236:0.00131876,1050:0.00131876,2351:0.00131876,4441:0.00127167,2906:0.00122457,1549:0.00122457,5255:0.00122457,643:0.00122457,666:0.00122457,3615:0.00122457,6542:0.00122457,4115:0.00122457,6795:0.00122457,462:0.00117747,1402:0.00117747,3557:0.00117747,3994:0.00117747,1341:0.00113037,6149:0.00113037,2778:0.00113037,6114:0.00113037,2020:0.00108327,4008:0.00108327,3506:0.00108327,2268:0.00108327,3095:0.00108327,1347:0.00108327,5550:0.00108327,1119:0.00103617,3122:0.00103617,174:0.00103617,6295:0.00103617,554:0.00103617,2293:0.00103617,1995:0.000989073,2408:0.000989073,708:0.000989073,4668:0.000989073,3773:0.000989073,5793:0.000989073,1037:0.000989073,4578:0.000941974,4496:0.000941974,5908:0.000941974,911:0.000941974,921:0.000941974,5119:0.000941974,3896:0.000941974
840:0.0170437,3281:0.0128867,4734:0.0106696,6688:0.0103578,5895:0.00949181,1432:0.00769044,6731:0.00644334,6520:0.00616621,4493:0.00609693,5407:0.00530017,237:0.00478055,846:0.00471126,6265:0.0045727,88:0.00405307,3928:0.00370665,1629:0.00356809,4925:0.00353345,5764:0.0034988,1030:0.00329096,5533:0.00322167,5166:0.00311775,6759:0.00311775,3805:0.0029099,4142:0.00280597,6295:0.00277133,1714:0.00266741,3035:0.00259812,5383:0.00256348,4624:0.00256348,4261:0.00256348,6225:0.00252884,3237:0.0024942,239:0.00245956,4094:0.00228635,6420:0.00228635,4092:0.00218242,4626:0.00218242,6704:0.0020785,4451:0.0020785,5822:0.0020785,2653:0.00197457,6612:0.00187065,2408:0.00187065,3004:0.00187065,2029:0.00187065,3675:0.00187065,212:0.00183601,2767:0.00180136,6251:0.00180136,4873:0.00176672,2274:0.00176672,3218:0.00176672,6236:0.00173208,2521:0.00173208,6620:0.00169744,5052:0.00169744,1584:0.00169744,4202:0.0016628,1979:0.00162816,3298:0.00159352,4737:0.00159352,5581:0.00155887,6830:0.00155887,6866:0.00152423,5798:0.00152423,2382:0.00148959,2553:0.00148959,2403:0.00145495,2757:0.00142031,3695:0.00142031,6766:0.00142031,1665:0.00138567,5524:0.00138567,5560:0.00138567,3122:0.00138567,540:0.00138567,2639:0.00135102,2268:0.00131638,2421:0.00131638,1105:0.00128174,5908:0.00128174,6880:0.00128174,337:0.0012471,3694:0.00121246,6814:0.00121246,236:0.00121246,3095:0.00114317,3882:0.00110853,3967:0.00110853,4733:0.00110853,542:0.00107389,6643:0.00107389,5285:0.00107389,2288:0.00107389,1970:0.00103925,5881:0.00100461,1663:0.00100461,440:0.00100461,4336:0.00100461,2180:0.00100461
840:0.028795,928:0.00710378,6181:0.00638201,4493:0.00604012,1143:0.00569822,1030:0.00482449,2639:0.00455858,4734:0.0044826,88:0.00429266,878:0.0041787,4271:0.0041787,440:0.0035329,3419:0.0035329,1999:0.00345692,3857:0.00315302,2355:0.00311503,846:0.00303905,3612:0.00300106,5798:0.00300106,6658:0.00284911,237:0.00277313,6182:0.00277313,5166:0.00269716,4624:0.00265917,6298:0.00235527,5185:0.00231728,2653:0.00227929,959:0.00227929,5184:0.0022413,6880:0.00220331,3281:0.00216532,6621:0.00212734,6433:0.00212734,6836:0.00208935,3298:0.00205136,4142:0.00197538,3046:0.00197538,1665:0.0019374,4092:0.0019374,4584:0.0019374,2096:0.00189941,3916:0.00186142,5551:0.00178544,6879:0.00178544,6688:0.00178544,869:0.00178544,741:0.00178544,1119:0.00178544,239:0.00178544,2623:0.00178544,6784:0.00178544,3557:0.00178544,3349:0.00174745,2030:0.00174745,6295:0.00174745,1023:0.00174745,970:0.00170947,1995:0.00167148,6704:0.00163349,2497:0.0015955,4270:0.0015955,3994:0.0015955,6318:0.0015955,3610:0.0015955,3590:0.00151953,1432:0.00151953,4737:0.00148154,4925:0.00148154,1680:0.00148154,6150:0.00148154,3345:0.00148154,5008:0.00148154,5016:0.00144355,3826:0.00144355,236:0.00140556,1083:0.00140556,1751:0.00136757,1347:0.00136757,5757:0.00132959,620:0.00132959,3309:0.00132959,334:0.00125361,4631:0.00125361,337:0.00125361,6886:0.00121562,2553:0.00121562,3579:0.00121562,871:0.00117763,4392:0.00113964,542:0.00113964,1144:0.00113964,2491:0.00113964,5014:0.00113964,1574:0.00113964,6891:0.00110166,1176:0.00110166,1041:0.00106367,386:0.00102568,3884:0.00102568,5895:0.00102568
840:0.0191804,4072:0.0138615,511:0.00713221,2639:0.00701132,846:0.0055607,3857:0.00471451,4441:0.00451304,878:0.00423097,4734:0.00358625,4257:0.00334448,5008:0.0032236,2274:0.0031833,5674:0.00302212,3004:0.00286094,706:0.00282065,4929:0.00261917,4626:0.00257888,3896:0.00253858,5789:0.00253858,2653:0.00245799,88:0.00233711,2020:0.00229681,4873:0.00229681,4073:0.00217593,6061:0.00213563,4142:0.00213563,2757:0.00209534,4737:0.00205504,3756:0.00205504,6868:0.00205504,2030:0.00205504,6298:0.00201475,4246:0.00197445,3826:0.00197445,3864:0.00193416,3294:0.00189386,1096:0.00181327,5866:0.00181327,6688:0.00177298,3419:0.00177298,3749:0.00173268,3281:0.00169239,1119:0.00169239,4320:0.00169239,5011:0.00165209,499:0.0016118,5035:0.0016118,4135:0.0016118,3734:0.0016118,5166:0.0015715,462:0.0015715,6766:0.00153121,5016:0.00153121,2361:0.00153121,3421:0.00149091,6295:0.00149091,6704:0.00149091,4092:0.00145062,2906:0.00145062,2021:0.00145062,4493:0.00145062,6658:0.00137003,3518:0.00137003,2942:0.00132973,1432:0.00132973,3675:0.00132973,2599:0.00128944,1600:0.00128944,4630:0.00124914,3069:0.00124914,5570:0.00124914,2613:0.00120885,5468:0.00120885,2702:0.00120885,2744:0.00120885,3010:0.00120885,5554:0.00120885,4392:0.00120885,4412:0.00120885,1030:0.00116855,337:0.00116855,5185:0.00116855,5705:0.00116855,3863:0.00112826,6060:0.00112826,674:0.00108796,5822:0.00108796,396:0.00108796,4961:0.00108796,3186:0.00108796,877:0.00108796,5346:0.00108796,3423:0.00108796,999:0.00108796,2553:0.00104767,4534:0.00104767,3629:0.00104767,4413:0.00104767,4909:0.00104767,3349:0.00104767
3419:0.0250116,840:0.0218129,2639:0.00901804,3935:0.00712964,878:0.00701403,4734:0.00655156,2029:0.00574225,6688:0.00501002,4267:0.00431632,846:0.0038924,5890:0.00381532,6661:0.00362263,6658:0.00354555,2757:0.00346848,3421:0.00342994,511:0.00327578,4246:0.00316017,5184:0.00312163,5550:0.00296747,3349:0.00281332,4634:0.00273624,4925:0.0026977,3281:0.00265916,3343:0.00262063,2653:0.00262063,6295:0.00258209,2081:0.00254355,5884:0.00238939,540:0.00235086,6060:0.00227378,2805:0.00227378,3896:0.00227378,3775:0.00227378,5016:0.00223524,4092:0.0021967,2758:0.0021967,4633:0.00215816,1185:0.00211962,4873:0.00211962,893:0.00211962,102:0.00204255,869:0.00204255,5099:0.00196547,3901:0.00196547,1661:0.00196547,5570:0.00192693,6760:0.00184985,234:0.00184985,3997:0.00181131,5830:0.00177278,1588:0.00177278,440:0.0016957,1979:0.00165716,5737:0.00161862,5822:0.00154154,3538:0.00154154,6287:0.00150301,6260:0.00150301,5895:0.00150301,3579:0.00146447,2355:0.00146447,1105:0.00142593,2864:0.00142593,1432:0.00138739,3793:0.00138739,237:0.00138739,4013:0.00138739,2469:0.00138739,5665:0.00134885,6298:0.00134885,3648:0.00134885,3122:0.00131031,999:0.00131031,5235:0.00131031,1023:0.00131031,1570:0.00131031,239:0.00131031,1665:0.00131031,2491:0.00131031,5243:0.00131031,3694:0.00131031,1663:0.00127177,5185:0.00127177,499:0.00127177,2814:0.00127177,6879:0.00127177,3826:0.00123324,6784:0.0011947,6621:0.0011947,6324:0.0011947,4631:0.0011947,3010:0.00115616,236:0.00115616,6420:0.00115616,3882:0.00111762,3300:0.00111762,3388:0.00111762,6744:0.00111762,3537:0.00111762,3536:0.00107908
840:0.0226745,3419:0.0186038,1663:0.00768499,3349:0.00642952,4734:0.00536428,4493:0.00528819,6295:0.00505992,4142:0.00498383,3421:0.00403272,4496:0.00395663,3857:0.00388054,6866:0.00372836,846:0.00342401,5581:0.00319574,237:0.00315769,6798:0.00315769,5895:0.00311965,6298:0.00311965,3873:0.00285334,2639:0.00281529,6661:0.00270116,878:0.00270116,1119:0.00258703,4441:0.00254898,670:0.00251094,6332:0.0023968,3309:0.0023968,4631:0.00235876,3300:0.00232072,3122:0.00228267,1373:0.00224463,2274:0.00220658,6517:0.00213049,4451:0.0020544,3629:0.00201636,2837:0.00201636,2336:0.00194027,2654:0.00190223,6850:0.00182614,5024:0.00182614,5890:0.00175005,3331:0.001712,2030:0.001712,3773:0.00167396,4092:0.00167396,882:0.00167396,4154:0.00163591,5966:0.00163591,3997:0.00163591,4735:0.00159787,6318:0.00159787,5967:0.00155982,3933:0.00155982,4940:0.00155982,5235:0.00155982,2081:0.00155982,3343:0.00155982,5099:0.00152178,5359:0.00148374,5564:0.00148374,870:0.00144569,2705:0.00144569,3069:0.00144569,6509:0.00144569,6077:0.00140765,4295:0.00140765,3533:0.00140765,3471:0.00140765,4784:0.0013696,643:0.0013696,6281:0.0013696,6516:0.0013696,2609:0.00133156,6880:0.00133156,4204:0.00133156,6428:0.00129351,1599:0.00129351,2361:0.00129351,2814:0.00125547,3659:0.00125547,2918:0.00125547,2763:0.00125547,3345:0.00125547,633:0.00121742,6660:0.00121742,1773:0.00121742,6835:0.00121742,1665:0.00117938,2879:0.00117938,5468:0.00117938,893:0.00117938,672:0.00117938,3534:0.00117938,1742:0.00117938,2906:0.00117938,3506:0.00117938,1739:0.00114134,6156:0.00114134,719:0.00114134,556:0.00114134
3419:0.0183098,878:0.0155428,840:0.0140739,1586:0.010897,1663:0.0107946,4496:0.00959896,1579:0.00792512,893:0.00765184,4735:0.00693448,6784:0.00628544,3857:0.00618296,846:0.00594384,4631:0.00567056,3421:0.0049532,4940:0.00481656,3349:0.00467992,5817:0.00464576,4092:0.00454328,4633:0.00454328,4142:0.0044408,6077:0.00430416,4634:0.00427,2029:0.00386008,3275:0.00372344,6330:0.00368928,4760:0.00345016,6437:0.00317688,4734:0.00314272,5554:0.00304024,1310:0.00300608,5551:0.00300608,827:0.00293776,6661:0.00280112,6823:0.00269864,3300:0.00266448,5890:0.00266448,1095:0.002562,6080:0.00249368,1446:0.00249368,6617:0.00245952,4246:0.00242536,6295:0.00225456,4167:0.0022204,2896:0.00208376,1644:0.0020496,6318:0.00201544,5550:0.00198128,1979:0.00194712,6797:0.00194712,5184:0.00194712,6880:0.0018788,6658:0.00184464,4168:0.00184464,1581:0.00184464,2950:0.00174216,4413:0.001708,5655:0.001708,6827:0.00167384,4493:0.00167384,5134:0.00167384,6704:0.00163968,2702:0.00163968,5895:0.00163968,6893:0.00160552,1030:0.00160552,6744:0.00157136,3136:0.0015372,2831:0.0015372,2837:0.00146888,4925:0.00143472,6156:0.00143472,4598:0.00143472,4116:0.00140056,3506:0.00140056,6485:0.0013664,892:0.0013664,2268:0.00133224,2219:0.00133224,4603:0.00133224,4624:0.00133224,3533:0.00129808,6356:0.00126392,2012:0.00122976,4635:0.00122976,3580:0.00122976,2778:0.00122976,5050:0.0011956,554:0.0011956,5052:0.0011956,5869:0.0011956,2351:0.0011956,5185:0.00116144,5658:0.00116144,4626:0.00116144,2217:0.00116144,5737:0.00112728,3659:0.00112728,448:0.00112728,1970:0.00112728,5364:0.00112728
